City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
404,Penzberg,DE,60.01,47.75,11.38,
405,Beira,MZ,69.8,-19.84,34.84,
408,Sartell,US,86.0,45.62,-94.21,
409,Salme,NP,69.8,28.04,85.09,
410,Sume,BR,79.56,-7.67,-36.88,
411,Wana,PK,76.62,32.3,69.57,
413,Luba,GQ,77.02,3.46,8.55,
414,Seoul,KR,71.6,37.57,126.98,
418,Saint-Pierre,RE,66.2,-21.34,55.48,
419,Bandarban,BD,73.98,22.2,92.23,
420,Birin,NP,61.9,26.89,88.07,
422,Cabo Rojo,PR,78.01,18.09,-67.15,
423,Urumqi,CN,73.4,43.8,87.6,
425,Sambava,MG,69.35,-14.27,50.17,
427,Atyrau,KZ,66.2,47.12,51.88,
428,Moindou,NC,66.2,-21.69,165.68,
429,Camopi,GF,84.16,3.17,-52.32,
431,Xichang,CN,64.06,27.9,102.26,
433,Koath,IN,81.73,25.32,84.27,
434,Kaminoyama,JP,77.0,38.15,140.27,
435,Bonthe,SL,75.76,7.53,-12.51,
436,Ziarat,PK,64.22,30.38,67.73,
437,Mana,GF,83.01,5.66,-53.78,
440,San Jeronimo,PE,62.98,-11.95,-75.28,
441,Erzin,TR,84.0,36.96,36.2,
443,Luena,AO,68.97,-11.78,19.92,
446,Nicoya,CR,80.6,10.15,-85.45,
448,Nabire,ID,73.35,-3.37,135.48,
449,Barranca,PE,63.77,-10.75,-77.77,
450,Alofi,NU,77.0,-19.06,-169.92,
451,Nhulunbuy,AU,73.4,-12.23,136.77,
452,Qarqin,AF,79.68,37.42,66.04,
453,Dosso,NE,80.76,13.05,3.19,
454,Bachaquero,VE,87.19,9.97,-71.15,
455,Yokadouma,CM,71.1,3.52,15.05,
457,Pinotepa Nacional,MX,85.91,16.32,-98.02,
460,Abancay,PE,69.03,-13.63,-72.88,
461,Tocopilla,CL,65.1,-22.09,-70.2,
462,Port Hedland,AU,62.6,-20.32,118.57,
464,Russell,US,89.6,32.35,-85.2,
465,Kalmunai,LK,80.38,7.42,81.82,
467,Nieuw Amsterdam,SR,84.2,5.88,-55.08,
468,Sulecin,PL,66.99,52.44,15.12,
469,Carbonia,IT,80.6,39.17,8.52,
470,Haldwani,IN,76.24,29.22,79.52,
473,Amapa,BR,87.04,1.0,-52.0,
474,Matara,LK,78.48,5.95,80.54,
477,Meulaboh,ID,74.43,4.14,96.13,
478,Ternate,ID,80.06,0.8,127.4,
481,Takoradi,GH,75.09,4.88,-1.76,
482,Ndjole,GA,78.6,-0.18,10.76,
486,Basco,PH,83.79,20.45,121.97,
487,Ishigaki,JP,83.39,24.34,124.16,
488,Coos Bay,US,82.0,43.37,-124.22,
489,Mvomero,TZ,70.25,-6.25,38.67,
490,Bellary,IN,75.61,15.15,76.93,
491,Forestville,US,84.99,38.85,-76.88,
492,Camana,PE,62.13,-16.62,-72.71,
493,Mitsamiouli,KM,76.77,-11.38,43.28,
494,Adwa,ET,62.49,14.16,38.9,
496,Shetpe,KZ,62.92,44.17,52.12,
498,Kaseda,JP,80.26,31.42,130.32,
499,Half Moon Bay,US,90.0,37.46,-122.43,
500,Buin,CL,71.6,-33.73,-70.75,
502,Morondava,MG,71.94,-20.28,44.28,
503,Pasco,US,87.01,28.29,-82.42,
504,Fengzhen,CN,62.82,40.44,113.15,
505,Falam,MM,61.83,22.92,93.68,
506,Liverpool,GB,61.0,53.41,-2.98,
507,Chirongui,YT,71.6,-12.93,45.15,
508,Pisco,PE,64.4,-13.7,-76.22,
510,Mao,ES,77.0,39.89,4.27,
511,Golcuv Jenikov,CZ,66.2,49.82,15.48,
515,Goundam,ML,86.56,16.41,-3.67,
517,San Ramon De La Nueva Oran,AR,71.01,-23.13,-64.33,
518,Januaria,BR,83.62,-15.48,-44.37,
521,Canico,PT,75.2,32.63,-16.85,
522,Fairbanks,US,72.0,64.84,-147.72,
523,Cobija,BO,72.55,-11.03,-68.77,
524,Yambio,SS,68.88,4.57,28.4,
525,Road Town,VG,82.4,18.42,-64.62,
526,Mandera,KE,80.69,3.94,41.87,
527,Rundu,,63.25,-17.93,19.77,
528,Saint-Leu,RE,69.8,-21.15,55.28,
529,Porto Santo,PT,73.4,33.07,-16.34,
532,Neiafu,TO,80.6,-18.65,-173.98,
533,Pemba,MZ,75.2,-12.97,40.52,
534,Veroia,GR,79.0,40.52,22.2,
536,Jiuquan,CN,68.22,39.74,98.52,
539,Boa Vista,BR,89.6,2.82,-60.67,
540,Carauari,BR,85.17,-4.88,-66.9,
542,Tucupita,VE,87.96,9.06,-62.05,
543,Talas,TR,60.8,38.69,35.55,
545,Fostoria,US,89.01,41.16,-83.42,
546,Szczecinek,PL,66.99,53.71,16.7,
547,Great Falls,US,87.8,47.5,-111.3,
548,Rawson,AR,64.2,-43.3,-65.1,
549,Fort Nelson,CA,64.4,58.81,-122.7,
550,Sakakah,SA,86.0,29.97,40.21,
551,Kabin Buri,TH,76.3,13.95,101.72,
552,Dubreka,GN,76.05,9.79,-13.52,
553,Harper,LR,75.97,4.38,-7.72,
554,Ruidoso,US,87.01,33.33,-105.67,
555,Polson,US,82.0,47.69,-114.16,
557,Tautira,PF,80.6,-17.73,-149.15,
560,Sao Gabriel Da Cachoeira,BR,87.15,-0.13,-67.09,
562,Lar,IN,80.49,26.2,83.97,
563,Saint-Joseph,RE,66.2,-21.37,55.62,
564,Kota Belud,MY,75.2,6.35,116.43,
565,Namibe,AO,63.63,-15.2,12.15,
568,Jamestown,US,82.99,42.1,-79.24,
569,Cururupu,BR,78.44,-1.83,-44.87,
573,San Patricio,MX,89.6,19.22,-104.7,
575,Fortuna,US,66.0,40.6,-124.16,
576,Mpongwe,ZM,61.57,-13.51,28.16,
579,Pacific Grove,US,68.0,36.62,-121.92,
580,Butaritari,KI,82.9,3.07,172.79,
581,Albany,US,84.0,42.6,-73.97,
583,Rudbar,AF,84.52,30.15,62.6,
584,Rikitea,PF,66.92,-23.12,-134.97,
585,Saint-Philippe,RE,69.8,-21.36,55.77,
587,Norman Wells,CA,66.2,65.28,-126.83,
588,Kalangala,UG,69.8,-0.31,32.23,
590,Atuona,PF,78.21,-9.8,-139.03,
591,Timra,SE,66.99,62.49,17.33,
592,Sitka,US,60.8,57.05,-135.33,
593,Dingle,PH,76.86,11.0,122.67,
594,Jiquipilas,MX,86.0,16.67,-93.65,
595,Waldshut-Tiengen,DE,64.99,47.62,8.22,
596,Arraial Do Cabo,BR,68.0,-22.97,-42.03,
600,Songjianghe,CN,62.46,42.19,127.48,
601,Manta,EC,73.4,-0.95,-80.73,
602,Ixtapa,MX,90.0,20.7,-105.2,
608,Constantine,DZ,80.6,36.37,6.61,
609,Kununurra,AU,66.2,-15.77,128.73,
610,Puerto Ayora,EC,75.2,-0.74,-90.35,
612,Sechura,PE,74.3,-5.56,-80.82,
613,Alberton,CA,68.0,46.82,-64.07,
614,Kapaa,US,84.2,22.08,-159.32,
615,Khani,GE,66.2,41.96,42.96,
617,Chester,US,84.99,40.13,-75.87,
623,General Roca,AR,71.6,-39.03,-67.58,
624,Sandviken,SE,64.0,60.62,16.77,
625,Inhambane,MZ,63.23,-23.86,35.38,
626,Puerto Del Rosario,ES,78.8,28.5,-13.86,
628,East London,ZA,66.22,-33.02,27.91,
629,Saurimo,AO,71.82,-9.66,20.39,
631,Arroyo,ES,71.01,41.61,-4.8,
632,Namatanai,PG,79.09,-3.67,152.43,
634,Avarua,CK,77.0,-21.21,-159.78,
635,Asau,RO,62.01,46.43,26.4,
636,Port Alfred,ZA,60.46,-33.59,26.89,
639,Shimoda,JP,71.01,34.67,138.95,
641,Bihoro,JP,60.04,43.82,144.1,
643,Guerrero Negro,MX,89.26,27.98,-114.06,
644,Yilan,TW,80.6,24.76,121.75,
645,Santa Fe Do Sul,BR,70.5,-20.21,-50.93,
646,Bar Harbor,US,75.2,44.39,-68.2,
648,Mahebourg,MU,69.8,-20.41,57.7,
650,Challans,FR,66.99,46.84,-1.87,
653,Muscat,OM,86.0,23.61,58.59,
655,Vanimo,PG,77.99,-2.67,141.3,
656,Vila Velha,BR,64.4,-20.33,-40.29,
658,Punta De Bombon,PE,60.69,-17.17,-71.79,
659,Bambous Virieux,MU,69.8,-20.34,57.76,
660,Gizo,SB,82.51,-8.1,156.84,
661,Yuci,CN,68.0,37.68,112.73,
662,Souillac,MU,69.8,-20.52,57.52,
665,Mar Del Plata,AR,60.8,-38.0,-57.56,
669,Faanui,PF,77.2,-16.48,-151.75,
670,The Valley,AI,86.0,18.22,-63.06,
671,Kudahuvadhoo,MV,84.0,2.67,72.89,
672,Hami,CN,75.36,42.8,93.45,
675,Cap-Aux-Meules,CA,68.0,47.38,-61.86,
678,Hilo,US,84.2,19.73,-155.09,
679,Plyussa,RU,65.35,58.43,29.37,
680,Amahai,ID,76.06,-3.33,128.92,
681,La Ronge,CA,60.8,55.1,-105.28,
682,Erenhot,CN,65.86,43.65,111.98,
683,College,US,72.0,64.86,-147.8,
