City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
175,Santiago,-33.46,-70.65,71.6,30,0,6.93,CL,2020-08-22 20:53:21,clear sky
176,High Level,58.52,-117.14,57.2,93,90,12.75,CA,2020-08-22 20:56:58,overcast clouds
177,Centralia,46.72,-122.95,71.6,60,20,5.82,US,2020-08-22 20:56:58,few clouds
178,San Pedro,14.35,121.02,80.6,88,100,4.7,PH,2020-08-22 20:56:58,overcast clouds
179,Dawson Creek,55.77,-120.24,59.0,58,20,24.16,CA,2020-08-22 20:56:58,few clouds
180,Mount Isa,-20.73,139.5,55.4,49,6,10.29,AU,2020-08-22 20:56:58,clear sky
181,Nishihara,26.18,127.76,78.8,94,75,5.82,JP,2020-08-22 20:56:59,shower rain
182,Banda Aceh,5.56,95.32,78.57,79,94,6.51,ID,2020-08-22 20:55:03,overcast clouds
183,Bengkulu,-3.8,102.27,75.38,88,53,4.38,ID,2020-08-22 20:56:59,broken clouds
184,Hasaki,35.73,140.83,77.0,94,75,8.05,JP,2020-08-22 20:52:36,mist
185,Thompson,55.74,-97.86,50.0,76,75,10.29,CA,2020-08-22 20:52:41,broken clouds
186,Pangai,-19.8,-174.35,77.99,86,15,13.58,TO,2020-08-22 20:57:00,few clouds
187,Brae,60.4,-1.35,53.6,100,99,6.93,GB,2020-08-22 20:56:01,overcast clouds
188,Frontera,26.93,-101.45,98.6,17,75,9.17,MX,2020-08-22 20:57:00,broken clouds
189,Sultanpur,26.27,82.07,79.56,84,26,5.26,IN,2020-08-22 20:57:00,scattered clouds
190,Malakal,9.53,31.66,74.46,84,7,3.11,SS,2020-08-22 20:57:01,clear sky
191,Umm Kaddadah,13.6,26.69,86.59,52,17,15.86,SD,2020-08-22 20:53:44,light rain
192,Portland,45.52,-122.68,77.0,53,75,8.05,US,2020-08-22 20:52:21,broken clouds
193,San Andres,12.58,-81.7,84.2,79,75,3.36,CO,2020-08-22 20:57:01,broken clouds
194,Sur,22.57,59.53,81.5,74,100,10.76,OM,2020-08-22 20:57:02,overcast clouds
195,Olafsvik,64.89,-23.71,51.1,67,24,7.49,IS,2020-08-22 20:53:36,few clouds
196,Taoudenni,22.68,-3.98,107.58,7,45,11.68,ML,2020-08-22 20:57:02,scattered clouds
197,Batabano,22.72,-82.29,89.6,66,40,6.93,CU,2020-08-22 20:57:02,scattered clouds
198,Rio Tercero,-32.17,-64.11,64.0,18,0,3.0,AR,2020-08-22 20:57:02,clear sky
199,Bridlington,54.08,-0.19,60.8,77,98,8.05,GB,2020-08-22 20:57:03,light rain
200,Hualmay,-11.1,-77.61,64.96,70,16,9.22,PE,2020-08-22 20:57:03,few clouds
201,Margate,51.38,1.39,66.0,77,38,5.01,GB,2020-08-22 20:53:04,scattered clouds
202,Envira,-7.3,-70.22,71.82,52,7,4.79,BR,2020-08-22 20:57:04,clear sky
203,Charters Towers,-20.1,146.27,51.6,47,40,10.74,AU,2020-08-22 20:57:04,scattered clouds
204,Coquimbo,-29.95,-71.34,51.8,87,90,8.05,CL,2020-08-22 20:57:05,overcast clouds
205,Belmonte,-15.86,-38.88,71.6,83,75,4.7,BR,2020-08-22 20:52:05,light intensity drizzle
206,Avera,33.19,-82.53,80.6,83,40,6.93,US,2020-08-22 20:57:05,scattered clouds
207,Vaini,-21.2,-175.2,77.0,83,20,10.29,TO,2020-08-22 20:57:05,few clouds
208,Wanxian,30.8,108.39,76.82,77,14,3.76,CN,2020-08-22 20:57:05,light rain
209,Port Elizabeth,-33.92,25.57,55.4,76,0,2.24,ZA,2020-08-22 20:57:06,clear sky
210,Bereda,43.27,-7.54,62.01,88,9,3.0,ES,2020-08-22 20:54:40,clear sky
211,Port-Cartier,50.03,-66.87,62.01,59,40,9.17,CA,2020-08-22 20:57:06,scattered clouds
212,Inuvik,68.35,-133.72,60.8,72,20,5.82,CA,2020-08-22 20:57:06,few clouds
213,Saint-Augustin,51.23,-58.65,64.8,62,96,4.07,CA,2020-08-22 20:57:06,overcast clouds
214,Ormara,25.21,64.64,83.66,85,100,12.57,PK,2020-08-22 20:57:07,overcast clouds
215,Victoria,22.29,114.16,82.0,78,13,3.0,HK,2020-08-22 20:57:07,few clouds
216,Lufilufi,-13.87,-171.6,86.0,74,40,9.17,WS,2020-08-22 20:47:18,scattered clouds
217,Ust-Nera,64.57,143.2,39.69,70,100,5.3,RU,2020-08-22 20:47:14,overcast clouds
218,Port Blair,11.67,92.75,82.15,79,100,10.76,IN,2020-08-22 20:57:07,overcast clouds
219,Touros,-5.2,-35.46,78.8,74,40,11.41,BR,2020-08-22 20:47:08,scattered clouds
220,Corby,52.5,-0.69,61.0,74,78,11.01,GB,2020-08-22 20:54:47,broken clouds
221,Dayong,25.02,118.29,78.8,100,90,4.47,CN,2020-08-22 20:57:08,overcast clouds
222,Naze,28.37,129.48,84.2,83,75,3.36,JP,2020-08-22 20:57:08,broken clouds
223,Gat,31.61,34.76,80.01,36,0,0.63,IL,2020-08-22 20:54:01,clear sky
224,Ambanja,-13.68,48.45,71.35,82,81,1.19,MG,2020-08-22 20:57:09,light rain
225,Pochutla,15.74,-96.47,88.0,62,40,6.93,MX,2020-08-22 20:57:09,scattered clouds
226,Nikolskoye,59.7,30.79,64.4,68,96,6.71,RU,2020-08-22 20:57:09,overcast clouds
227,Mahajanga,-15.72,46.32,71.6,88,20,3.36,MG,2020-08-22 20:57:10,few clouds
228,Lasa,46.62,10.7,60.01,100,5,4.7,IT,2020-08-22 20:57:10,clear sky
229,Batagay-Alyta,67.8,130.41,35.46,84,96,1.1,RU,2020-08-22 20:53:46,overcast clouds
230,Maumere,-8.62,122.21,75.61,75,51,3.74,ID,2020-08-22 20:53:41,broken clouds
231,Teahupoo,-17.83,-149.27,80.6,65,40,2.24,PF,2020-08-22 20:57:11,scattered clouds
232,Bristol,41.83,-71.17,78.01,83,90,5.82,US,2020-08-22 20:57:11,moderate rain
233,Santiago Del Estero,-27.8,-64.26,69.46,21,0,14.36,AR,2020-08-22 20:53:56,clear sky
234,Lata,40.16,-8.33,66.0,77,0,4.0,PT,2020-08-22 20:57:11,clear sky
235,Upata,8.01,-62.4,91.0,63,4,1.01,VE,2020-08-22 20:52:16,clear sky
236,Maningrida,-12.07,134.27,62.13,76,0,8.5,AU,2020-08-22 20:57:12,clear sky
237,Ray,23.68,85.05,77.23,85,100,1.97,IN,2020-08-22 20:57:12,light rain
238,Lazaro Cardenas,17.96,-102.2,85.06,71,0,7.2,MX,2020-08-22 20:57:13,clear sky
239,Te Anau,-45.42,167.72,42.91,86,100,1.28,NZ,2020-08-22 20:57:13,overcast clouds
240,Komnina,40.6,21.78,79.0,60,0,3.36,GR,2020-08-22 20:57:13,clear sky
241,At-Bashi,41.17,75.81,53.74,42,0,2.01,KG,2020-08-22 20:57:13,clear sky
242,Cidreira,-30.18,-50.21,54.07,70,0,5.79,BR,2020-08-22 20:56:21,clear sky
243,Lavrentiya,65.58,-171.0,46.42,95,100,6.85,RU,2020-08-22 20:52:32,light rain
244,Jinji,23.23,110.83,77.4,90,22,2.35,CN,2020-08-22 20:57:14,few clouds
245,Ongandjera,-17.88,15.07,66.6,24,6,7.49,NA,2020-08-22 20:57:14,clear sky
246,Trelew,-43.25,-65.31,66.61,26,0,4.25,AR,2020-08-22 20:57:14,clear sky
247,Limoges,45.75,1.33,63.0,72,67,4.7,FR,2020-08-22 20:57:14,broken clouds
248,Santa Cruz,-17.8,-63.17,68.0,37,75,4.7,BO,2020-08-22 20:54:24,broken clouds
249,Roald,62.58,6.13,59.0,82,100,16.11,NO,2020-08-22 20:57:15,light rain
250,Provideniya,64.38,-173.3,50.5,87,100,5.3,RU,2020-08-22 20:57:15,light rain
251,Qaqortoq,60.72,-46.03,53.6,62,20,8.05,GL,2020-08-22 20:57:15,few clouds
252,Weymouth,42.22,-70.94,78.8,94,69,4.7,US,2020-08-22 20:57:16,moderate rain
253,Winnemucca,40.97,-117.74,91.4,8,1,11.41,US,2020-08-22 20:57:16,haze
254,Teya,60.38,92.63,51.71,91,100,2.91,RU,2020-08-22 20:57:17,overcast clouds
255,Khatanga,71.97,102.5,47.71,76,0,7.2,RU,2020-08-22 20:57:17,clear sky
256,Pudozh,61.81,36.53,58.44,80,91,4.97,RU,2020-08-22 20:57:17,overcast clouds
257,Kavaratti,10.57,72.64,82.47,77,59,10.63,IN,2020-08-22 20:57:18,light rain
258,De-Kastri,51.47,140.78,60.84,91,96,2.8,RU,2020-08-22 20:57:18,overcast clouds
259,Truro,50.27,-5.05,60.8,87,4,17.22,GB,2020-08-22 20:57:18,light intensity drizzle
